excec memoryUsed freeBlocks rounds avgsize
0.0 51480 44 306 1170
1.0 51480 44 307 1170
1.0 51416 44 308 1169
1.0 51224 44 309 1164
1.0 51336 45 310 1141
1.0 51312 46 311 1115
1.0 51296 46 312 1115
1.0 51224 46 313 1114
1.0 51304 46 314 1115
1.0 51384 45 315 1142
1.0 51384 45 316 1142
1.0 51312 45 317 1140
1.0 51320 44 318 1166
1.0 51424 44 319 1169
1.0 51320 44 320 1166
1.0 51360 44 321 1167
1.0 51216 43 322 1191
1.0 51208 44 323 1164
1.0 51120 44 324 1162
1.0 51120 45 325 1136
0.0 51184 46 326 1113
1.0 51280 47 327 1091
1.0 51400 48 328 1071
1.0 51344 48 329 1070
1.0 51272 47 330 1091
1.0 51304 47 331 1092
0.0 51320 47 332 1092
1.0 51288 48 333 1068
1.0 51304 47 334 1092
1.0 51264 48 335 1068
1.0 51304 49 336 1047
0.0 51304 48 337 1069
1.0 51344 48 338 1070
1.0 51416 47 339 1094
1.0 51480 47 340 1095
0.0 51416 47 341 1094
1.0 51416 47 342 1094
1.0 51408 48 343 1071
1.0 51304 49 344 1047
0.0 51336 49 345 1048
0.0 51360 48 346 1070
1.0 51376 48 347 1070
0.0 51464 49 348 1050
1.0 51424 49 349 1049
1.0 51424 50 350 1028
1.0 51424 49 351 1049
1.0 51440 49 352 1050
0.0 51440 49 353 1050
1.0 51488 50 354 1030
1.0 51568 50 355 1031
1.0 51560 50 356 1031
1.0 51552 50 357 1031
1.0 51472 50 358 1029
1.0 51536 50 359 1031
1.0 51560 50 360 1031
1.0 51560 49 361 1052
1.0 51528 48 362 1074
1.0 51640 48 363 1076
1.0 51640 48 364 1076
1.0 51576 48 365 1074
1.0 51576 48 366 1074
1.0 51584 48 367 1075
1.0 51488 48 368 1073
1.0 51584 48 369 1075
1.0 51624 47 370 1098
1.0 51560 47 371 1097
1.0 51504 46 372 1120
1.0 51480 46 373 1119
1.0 51504 46 374 1120
1.0 51600 47 375 1098
1.0 51488 47 376 1095
1.0 51400 48 377 1071
0.0 51496 48 378 1073
2.0 51336 48 379 1070
1.0 51336 48 380 1070
1.0 51320 48 381 1069
1.0 51272 48 382 1068
1.0 51176 48 383 1066
1.0 51072 48 384 1064
