excec memoryUsed freeBlocks rounds avgsize
1.0 51032 200 384 255
1.0 50984 201 385 254
1.0 51032 202 386 253
1.0 51032 202 387 253
1.0 51088 203 388 252
1.0 51136 204 389 251
1.0 51120 205 390 249
1.0 51120 205 391 249
2.0 51096 206 392 248
1.0 51136 207 393 247
1.0 51256 208 394 246
1.0 51248 209 395 245
1.0 51248 209 396 245
1.0 51248 210 397 244
1.0 51248 210 398 244
0.0 51112 210 399 243
0.0 51112 210 400 243
1.0 51192 211 401 243
1.0 51064 212 402 241
1.0 51064 212 403 241
1.0 51112 213 404 240
1.0 51168 214 405 239
1.0 51096 215 406 238
1.0 51000 215 407 237
1.0 50968 216 408 236
0.0 50968 217 409 235
0.0 51032 218 410 234
0.0 51032 218 411 234
0.0 51128 219 412 233
1.0 51048 220 413 232
1.0 50984 221 414 231
1.0 50912 221 415 230
1.0 50848 221 416 230
1.0 50888 222 417 229
1.0 50872 223 418 228
1.0 50872 223 419 228
1.0 50760 224 420 227
0.0 50808 225 421 226
0.0 50784 226 422 225
1.0 50880 227 423 224
1.0 50880 227 424 224
1.0 50880 228 425 223
1.0 50848 229 426 222
1.0 50768 230 427 221
1.0 50760 231 428 220
1.0 50792 232 429 219
0.0 50792 232 430 219
0.0 50776 233 431 218
1.0 50744 234 432 217
1.0 50744 234 433 217
1.0 50792 235 434 216
0.0 50792 236 435 215
1.0 50840 237 436 215
1.0 50840 237 437 215
1.0 50880 238 438 214
1.0 50968 239 439 213
0.0 50896 240 440 212
1.0 50944 241 441 211
1.0 50944 242 442 211
1.0 51032 243 443 210
0.0 51112 244 444 209
1.0 51184 245 445 209
1.0 51312 246 446 209
0.0 51360 247 447 208
1.0 51344 247 448 208
0.0 51416 248 449 207
1.0 51528 249 450 207
1.0 51432 250 451 206
1.0 51360 251 452 205
4.0 51312 252 453 204
1.0 51312 252 454 204
1.0 51224 252 455 203
0.0 51176 253 456 202
1.0 51136 254 457 201
1.0 51136 255 458 201
1.0 51040 256 459 199
1.0 51112 257 460 199
0.0 51104 258 461 198
1.0 51088 259 462 197
0.0 51160 260 463 197
1.0 51248 261 464 196
1.0 51168 262 465 195
0.0 51232 263 466 195
1.0 51216 264 467 194
1.0 51216 265 468 193
0.0 51184 266 469 192
1.0 51184 266 470 192
1.0 51320 267 471 192
0.0 51320 267 472 192
1.0 51368 268 473 192
1.0 51400 269 474 191
0.0 51288 270 475 190
1.0 51248 271 476 189
1.0 51200 272 477 188
1.0 51120 273 478 187
0.0 51120 273 479 187
1.0 51120 273 480 187
1.0 51232 274 481 187
1.0 51304 275 482 187
0.0 51296 275 483 187
1.0 51296 275 484 187
1.0 51296 275 485 187
1.0 51344 276 486 186
0.0 51392 277 487 186
0.0 51392 277 488 186
1.0 51392 277 489 186
1.0 51296 278 490 185
1.0 51416 279 491 184
1.0 51528 280 492 184
1.0 51472 281 493 183
0.0 51592 282 494 183
0.0 51528 282 495 183
1.0 51464 283 496 182
1.0 51464 283 497 182
1.0 51496 284 498 181
1.0 51432 285 499 180
1.0 51472 286 500 180
1.0 51472 286 501 180
1.0 51360 287 502 179
1.0 51344 288 503 178
1.0 51392 289 504 178
1.0 51392 290 505 177
1.0 51424 291 506 177
1.0 51424 291 507 177
1.0 51360 292 508 176
1.0 51336 293 509 175
1.0 51384 294 510 175
0.0 51520 295 511 175
0.0 51560 296 512 174
0.0 51560 296 513 174
1.0 51600 297 514 174
1.0 51600 297 515 174
1.0 51688 298 516 173
1.0 51736 299 517 173
1.0 51816 300 518 173
1.0 51752 300 519 173
1.0 51696 301 520 172
1.0 51728 302 521 171
1.0 51720 303 522 171
0.0 51816 304 523 170
1.0 51808 305 524 170
1.0 51776 306 525 169
1.0 51832 307 526 169
1.0 51832 307 527 169
1.0 51928 308 528 169
0.0 51928 308 529 169
0.0 51856 309 530 168
1.0 51960 310 531 168
0.0 51960 310 532 168
1.0 51960 310 533 168
1.0 51920 310 534 167
0.0 51984 311 535 167
1.0 51928 312 536 166
1.0 51928 312 537 166
1.0 51928 312 538 166
1.0 51848 312 539 166
3.0 51696 312 540 166
1.0 51744 313 541 165
0.0 51800 314 542 165
1.0 51760 315 543 164
1.0 51656 316 544 163
1.0 51600 317 545 163
1.0 51640 318 546 162
0.0 51640 318 547 162
1.0 51640 319 548 162
1.0 51712 320 549 162
1.0 51672 321 550 161
1.0 51600 321 551 161
1.0 51568 322 552 160
1.0 51528 323 553 160
2.0 51528 323 554 160
1.0 51504 324 555 159
1.0 51504 325 556 158
0.0 51592 326 557 158
2.0 51592 326 558 158
0.0 51560 327 559 158
1.0 51496 328 560 157
1.0 51472 329 561 156
0.0 51472 329 562 156
0.0 51448 330 563 156
0.0 51528 331 564 156
1.0 51528 331 565 156
1.0 51528 331 566 156
1.0 51584 332 567 155
1.0 51568 332 568 155
1.0 51680 333 569 155
1.0 51568 332 570 155
1.0 51560 333 571 155
1.0 51560 334 572 154
1.0 51512 335 573 154
1.0 51512 336 574 153
0.0 51512 336 575 153
1.0 51480 337 576 153
1.0 51480 337 577 153
1.0 51536 338 578 152
1.0 51584 339 579 152
1.0 51672 340 580 152
2.0 51672 340 581 152
1.0 51712 341 582 152
1.0 51752 342 583 151
1.0 51784 343 584 151
1.0 51744 344 585 150
1.0 51744 344 586 150
