excec memoryUsed freeBlocks rounds avgsize
6.0 54240 58 429 935
5.0 54264 58 430 936
6.0 54216 57 431 951
7.0 54160 57 432 950
6.0 54152 57 433 950
7.0 54200 57 434 951
8.0 54200 57 435 951
4.0 54248 57 436 952
6.0 54264 57 437 952
7.0 54304 57 438 953
8.0 54408 57 439 955
6.0 54336 57 440 953
6.0 54384 57 441 954
7.0 54368 58 442 937
5.0 54456 58 443 939
8.0 54536 58 444 940
6.0 54608 59 445 926
5.0 54736 60 446 912
5.0 54768 59 447 928
5.0 54768 60 448 913
4.0 54840 60 449 914
5.0 54960 61 450 901
4.0 54864 61 451 899
4.0 54784 61 452 898
7.0 54704 61 453 897
5.0 54720 61 454 897
5.0 54656 61 455 896
7.0 54608 60 456 910
8.0 54568 60 457 909
8.0 54568 60 458 909
6.0 54456 60 459 908
6.0 54520 60 461 909
7.0 54504 60 462 908
6.0 54584 61 463 895
8.0 54672 61 464 896
5.0 54592 60 465 910
7.0 54640 60 466 911
8.0 54624 60 467 910
0.0 54592 60 469 910
7.0 54600 60 470 910
5.0 54736 60 471 912
6.0 54744 60 472 912
6.0 54800 60 473 913
5.0 54832 61 474 899
7.0 54720 61 475 897
5.0 54680 61 476 896
7.0 54624 60 477 910
7.0 54544 60 478 909
6.0 54544 61 479 894
6.0 54552 60 480 909
4.0 54680 61 481 896
5.0 54752 61 482 898
7.0 54752 62 483 883
6.0 54760 62 484 883
8.0 54776 62 485 883
6.0 54824 63 486 870
8.0 54872 63 487 871
7.0 54872 63 488 871
7.0 54776 63 490 869
7.0 54896 62 491 885
8.0 55008 62 492 887
5.0 55064 61 494 903
7.0 55024 61 495 902
8.0 54960 61 496 901
4.0 54968 61 497 901
5.0 55000 61 498 902
8.0 54936 61 499 901
6.0 54976 62 500 887
7.0 54976 62 501 887
5.0 54856 62 502 885
8.0 54848 62 503 885
7.0 54896 62 505 885
8.0 54904 62 506 886
7.0 54928 63 507 872
7.0 54864 64 508 857
8.0 54840 65 509 844
6.0 54888 64 510 858
6.0 55064 63 512 874
8.0 55064 63 513 874
6.0 55112 63 514 875
8.0 55088 62 515 889
7.0 55176 62 516 890
6.0 55224 62 517 891
4.0 55304 62 518 892
6.0 55240 62 519 891
5.0 55168 62 520 890
5.0 55184 63 522 876
5.0 55280 63 523 877
7.0 55272 63 524 877
7.0 55240 62 525 891
7.0 55288 61 526 906
7.0 55288 61 527 906
6.0 55384 61 528 908
7.0 55392 61 529 908
5.0 55320 61 530 907
8.0 55424 61 531 909
8.0 55448 62 532 894
6.0 55456 62 533 894
6.0 55424 62 534 894
5.0 55488 61 535 910
6.0 55432 61 536 909
7.0 55440 61 537 909
5.0 55480 62 538 895
6.0 55416 61 539 908
5.0 55288 61 540 906
5.0 55336 61 541 907
5.0 55392 61 542 908
4.0 55360 61 543 908
4.0 55232 61 544 905
4.0 55176 61 545 905
5.0 55216 60 546 920
5.0 55216 60 547 920
6.0 55216 60 548 920
5.0 55288 59 549 937
4.0 55248 59 550 936
6.0 55200 59 551 936
6.0 55168 59 552 935
6.0 55120 58 553 950
6.0 55120 58 554 950
6.0 55072 58 556 950
7.0 55160 58 557 951
8.0 55184 59 558 935
7.0 55152 59 559 935
7.0 55080 58 560 950
5.0 55056 58 561 949
6.0 55072 58 562 950
5.0 55048 57 563 966
8.0 55128 56 564 984
7.0 55136 56 565 985
8.0 55136 56 566 985
8.0 55168 57 567 968
7.0 55168 56 568 985
5.0 55296 57 569 970
5.0 55224 57 570 969
7.0 55216 58 571 952
5.0 55216 58 572 952
6.0 55168 58 573 951
6.0 55160 58 574 951
7.0 55176 58 575 951
8.0 55144 58 577 951
5.0 55224 57 579 969
6.0 55312 57 580 970
8.0 55336 58 581 954
6.0 55376 58 582 955
6.0 55416 58 583 955
6.0 55448 58 584 956
6.0 55408 59 585 939
6.0 55432 60 586 924
5.0 55424 60 587 924
5.0 55432 60 588 924
8.0 55344 60 589 922
5.0 55352 60 590 923
5.0 55320 60 591 922
5.0 55296 61 592 906
6.0 55296 61 593 906
6.0 55296 61 594 906
4.0 55360 62 595 893
5.0 55424 63 596 880
4.0 55392 63 597 879
5.0 55304 64 598 864
5.0 55264 63 599 877
6.0 55400 62 600 894
4.0 55392 63 601 879
6.0 55408 62 603 894
6.0 55328 62 604 892
6.0 55360 62 605 893
5.0 55312 63 606 878
7.0 55384 62 607 893
7.0 55352 63 608 879
5.0 55240 63 609 877
5.0 55288 63 610 878
5.0 55312 63 611 878
6.0 55312 63 612 878
5.0 55312 63 613 878
5.0 55312 62 614 892
7.0 55336 62 615 893
8.0 55416 61 616 908
5.0 55312 61 617 907
5.0 55320 60 618 922
5.0 55360 60 619 923
5.0 55360 60 620 923
5.0 55440 60 621 924
5.0 55360 60 622 923
6.0 55376 60 623 923
6.0 55456 60 624 924
5.0 55488 60 625 925
4.0 55480 60 626 925
5.0 55448 61 627 909
5.0 55424 62 628 894
5.0 55424 61 629 909
6.0 55368 60 630 923
5.0 55368 61 631 908
5.0 55392 62 632 893
5.0 55376 62 633 893
